               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11531,            0.062177,                   0,           0.0014103,            0.018333,          0.00072564,          0.00010493,             0.10158,            0.056807,                   0,              0.0811,              0.0021,              0.0021
                   1,              0.1024,            0.070892,                   0,           0.0061616,             0.10167,           0.0036195,           0.0010682,            0.087201,            0.061186,                   0,            0.061215,           0.0042149,           0.0042149
                   2,            0.090354,             0.07355,                   0,             0.14833,               0.255,            0.089529,            0.020832,             0.08804,            0.068543,                   0,            0.041243,           0.0062426,           0.0062426
                   3,            0.089998,            0.060565,                   0,             0.13678,               0.295,             0.10102,            0.025538,            0.078639,            0.056603,                   0,            0.021183,           0.0081832,           0.0081832
                   4,            0.086021,            0.057739,                   0,             0.12671,             0.31667,             0.09209,            0.024871,            0.082271,            0.055129,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.078118,            0.057461,                   0,             0.31582,             0.42833,             0.28402,            0.085986,            0.070607,            0.049087,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.072127,            0.053015,                   0,             0.25497,             0.49667,             0.23212,            0.073846,            0.065749,            0.053222,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.068784,            0.054258,                   0,             0.28385,             0.49667,             0.25533,            0.091006,            0.060446,             0.05315,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.064196,            0.049307,                   0,             0.56647,               0.485,             0.48448,             0.15227,            0.059879,            0.046476,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.058568,            0.052579,                   0,             0.44985,                0.55,             0.42271,             0.15892,            0.058457,             0.04896,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.05916,            0.050515,                   0,             0.43271,             0.49667,             0.37045,             0.11206,            0.054905,            0.042607,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.057388,              0.0497,                   0,             0.65272,             0.58579,             0.62622,             0.24041,            0.047868,            0.037805,                   0,             0.00802,             0.00802,             0.00802
